"id","username","discriminator","nickname","avatar","bot"
"170798894022656000","warandstar","6796",NA,"672f97250e3b72cfb7eefda46c9bb335",NA
"170992151851696128","TechNickL","8248",NA,NA,NA
"171119220896169984","ericsenny","1968",NA,"ee336f9742e751f9b31a2033b76cc0ca",NA
"171154214062391296","yoshifan88","9538",NA,NA,NA
"171288238659600384","xyzzy","3022",NA,"d4b7cf0488b0ca06beb28edf1db70b18",TRUE
"171439292931899392","hackisk","9543",NA,"659cf00a7a5f8f6177f3178ffbf268ff",NA
"172183778377203712","Otherones5","8048",NA,"461cabb59c83661ad423ff47ef32a24c",NA
"172434125054017536","EzPz","0784",NA,"cb5573a3ddc09dbfe90cd7e4710fb201",NA
"173218942569938944","KVZZ","4502",NA,"b09727cf1f240f20a596770d8491b374",NA
"173673956027400192","Bin","6707",NA,"2b047316e26c15a1739b0cf27e54fd76",NA
"173881291085840384","aidan","7257",NA,NA,NA
"174267685557764097","Munch","7014",NA,"49d5c19b87047be9c0afa41e3046ee53",NA
"174603401479323649","wchill","1127",NA,"ba93c484d7293b50a399b36b781099a2",NA
"175076992280952832","totallypro","3135",NA,NA,NA
"175794195255132160","Neej","8939",NA,"45fb7b5ffb297caa3b64ee1a8f80af78",NA
"178378162344951808","Caretechi","9274",NA,"307918dc71b3116dd725bb2fbd82f3dc",NA
"178648561569890304","cydney","3535",NA,NA,NA
"179064974998634496","               ","3879",NA,"30dc6282ea2319444c35bbb8e6e08079",NA
"179171740671410176","Humbo","7610",NA,"6cd21eb5325ed11e97ded4681f5fe8c3",NA
"179394997274017792","Laplex","2489",NA,"e2ee2a5dc4b17f14943b17ed5f3fe343",NA
"180094273717403648","Mandrake Jake","3364",NA,"58acd3a411a1e001b65366cb297f2dc1",NA
"180669360946282496","kiritnarain","5950",NA,NA,NA
"181529391635890176","!aye a boy at the top k paeso","6346",NA,"809915621d25334738a32aa5f9f22140",NA
"182340449091059712","Succinate","6459",NA,"87063889528f4bbf68360b1d5c497a2e",NA
"183030413269139458","Unenthusiastic Husk Of A Man","6380",NA,"c75f6aed0b2d17413e67d6875a81ef98",NA
"184534707000573952","repoted","3344",NA,"bd92e97ba1fcd6fc4ffeed7c00bf58db",NA
"185549294999306240","ivan","2224",NA,"bf1a06275120e794348d06a5cb4973e1",NA
"185551955614105601","ketchup","8116",NA,NA,NA
"185558368402931732","TejusK","3478",NA,"545fe6e002f1e510f456197949f8e571",NA
"185616374897442816","LeiLei98","9187",NA,NA,NA
"185821757016506369","Trebond","5694",NA,"51257ef73fdeaac4bb645031c68fdc93",NA
"187029192360067072","Nico","2778",NA,"686ff6cc33e465b2f5c199e341d8cea0",NA
"187045983555682305","Takyon","9692",NA,"7078ec8023e21ad3e6e83e200442bd3a",NA
"187453564031860736","unit82","7737",NA,"9d301df768499e418c54cebd0653354b",NA
"188495673073729539","Michael","8010",NA,"7aa3fab45f6a97fe7f9e6186aae2fafe",NA
"190210410895376384","Blaziken","4002",NA,NA,NA
"190958615375511552","ambientmeme","9777",NA,"ccc967dec0594f2dd27c4cc6888889f6",NA
"191326854840451073","Katastrophic","5768",NA,"3c7359d6978b563051657b728ee5d833",NA
"191381325364592640","Eldar","9269",NA,NA,NA
"191457134150418432","narrwhal","6551",NA,"85e35dab1e3479ca241ef713b04bb8a3",NA
"192198988621938688","f u c k b o i","0498",NA,"b1b24649b637ce595effce66badb6a6a",NA
"193099378616041472","Plugy","9539",NA,"568ccf3f8162bade9e27e317acce6b1f",NA
"193120599768432641","JulienA","8173",NA,"a5135a8587242beb28311d65ed602375",NA
"193606261642625024","domo","3425",NA,"7150cbeb9f5fe6ee686d0b43b30e0b9a",NA
"193853475862347776","kyle.m","2953",NA,NA,NA
"194550515282083849","Takoyaki","8686",NA,"4c732eb512ae7bcf0f22ecb45eae400f",NA
"194685254676643840","OGSuperSand","9755",NA,"d6cc563a67599c9e8f9b5a2039fe47e1",NA
"194894429708877825","glorygeek","0143",NA,NA,NA
"195103806298521601","Akram","3772","Uses Arch Linux btw","24dd78d8a6ca3c76371c971058b4853e",NA
"195295112492744706","Mickelbitch","8764",NA,"927c05e4c3003f14a3aef5ed9eb806e9",NA
"195708404881162250","The Only Chosen One","5808",NA,"6d3186717d263bf79df3cab975b9c26f",NA
"196358143645712384","KOBK","0060",NA,"81205bae97b15cf11d35ca866d62f34d",NA
"197415578917535745","snwdrft","5366","Drifting in The Snow","e840c8e5263d0d362f1d6ec7db110cca",NA
"197771787939872778","Dancer","8146","Black Science Man","4e1398bfb974b37a7c522263259df508",NA
"197786279436484608","Mash Botato","4853",NA,"66ef2db1b5ee1d50486a6840673ef1fa",NA
"198699728441966592","Frank","9690",NA,NA,NA
"198916418782232576","IAmTheAce17","8657",NA,"2fad2ce30b401cc41f5b4954ab972fbe",NA
"199008249457016834","visioninblue","4529","fail forward","527ac841d973c3cf8285db1ea8010aa4",NA
"199657984501088256","Broken bak moomoodog","3191",NA,NA,NA
"200013678861352960","Ari","6064",NA,"c6336cead1d354ec9751ea3053a99996",NA
"200176103808040960","alexfacehead","5012",NA,"674158cb7c55fa731ce8e6471bda1773",NA
"200497424295264256","hems","6228",NA,NA,NA
"200771148319948800","Peter","2052",NA,"33e598b5cfa6821df4390bb119884598",NA
"204042109567762442","atikinf","8120",NA,"341f9dea346f4ef862931c22a5d90e75",NA
"205230626905915392","Pippyman","2388",NA,"d0618bc7ad800cd95ddf12fb80445767",NA
"206457982815305728","Pancake Waffle","2829",NA,"6b273f98406d9714050c546dd656364d",NA
"206492554835787776","OrdinarySam","7116",NA,NA,NA
"206587938866200576","Jin","5690",NA,"e4a3137454e8190ae9de96fd119088b0",NA
"206964725421047808","Kaboombafoo","4842",NA,"76422d2419ce2e01bfb94f00355f5582",NA
"207468457149595650","Cheesemaster66","1602",NA,"a2dcce9e3339bf0586627b3447aeafa1",NA
"209671111703527424","Jungo","1196","?",NA,NA
"210171070097915904","leverage","7169",NA,"10ad1f7a5fdec232bd9a1197503e4d9e",NA
"210220723816497153","TheYoakster","7990",NA,"856e2849d6f612c3d75cba4e1315f9cc",NA
"210842950668779520","NomBytes","1749",NA,"b50f30fcdac2ddaa3fc0e5f7c4cd7f65",NA
"210883155127697408","ilia","6634",NA,NA,NA
"211318001780260864","williamvnguyen2","3721",NA,"70618e4af3cdcd4895f995b793faa385",NA
"211356105182412800","donglords69","7537",NA,"1df53dd9e62c7b2bb3bb8bb97407cabf",NA
"212780524622577664","ryan","8112",NA,"c9672a8813e5cf8da6d844f322aba92c",NA
"213037346575089667","ymd","0954",NA,"9a3f88dfefaf16a343240fc3a7cb62e7",NA
"213882888406564864","Aemelialialia","2799",NA,"d33b7e7f262a70b2512104b39805b853",NA
"214082629555716096","Thatcephalopod","5169",NA,"e76148e28f7ee73b103c92a810b9341e",NA
"214396125384409089","Taylay","2937",NA,"7a3a3f6ade7c4275979567930551fb7e",NA
"214990367790071808","shaheer","6934",NA,"d758370063f8fc15dda89aad2c0f85e6",NA
"215935013978505216","Michelle","4609","...Michecke","a8a2331905cb6cdd182c493921d97fdd",NA
"216073554968444939","cooldude","2729",NA,NA,NA
"216317834668539904","DB","1817",NA,"1b208afdbf8512fe40c470cc33424ddb",NA
"216667085403717632","sNat","6321","snot","bd0b1cc8f516d2926fa4798ebf3760a7",NA
"216799559714603008","lubo","5689","1008","16f7c026b607d993bad112ce14521b7c",NA
"217403267066494976","Xythas","7304",NA,"7b291483d104c5fbe3ac6fe7863cc203",NA
"218890225621925888","Vanilla","3528",NA,"770a7567b058135f768dff60e39a56af",NA
"218949000055750657","ScarletStorm","9418",NA,"7970f3440e67858d16d9e96bb4aa035d",NA
"219243571398705152","halfglitch99","7988",NA,"44a09fdce09646f757e97fbe743407b9",NA
"219621038852538368","pendragon","8104",NA,"9b9acda88a0051ae6ac34b7807eb5036",NA
"220678841084018689","Droid360","2847",NA,"9c81b87a2e870e649b21583086b16693",NA
"220775500056887296","Corv","2220",NA,"1ae6296062f7760de92c2858299f2457",NA
"221129619263324160","jmacias","7516","u_wot",NA,NA
"222310303168200714","saechu","5478",NA,"86adb74632125aad609ca4ccaae5ca27",NA
"222565783107010560","cereal","2366",NA,"f612b027c8dbb561ca70a72f4ed79304",NA
"223342306508406784","larryshan","0989",NA,"e0061f1a27795c2787e4170b97bdbd6a",NA
